n_genes,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
5,0.9580645161290322,0.021772534119695288,0.9432065217391304,0.03669205063089422,0.9178384687208216,0.04314371154706176,0.9913043478260869,0.015200128234350012
10,0.967741935483871,0.015206597444872003,0.9538043478260869,0.027294418792245246,0.9365196078431373,0.029683970937755592,0.9896739130434783,0.01688771186437888
25,0.9774193548387096,0.021772534119695257,0.9644021739130434,0.03419189096083191,0.9549509803921568,0.04290667354717698,0.9978260869565219,0.003800032058587488
50,0.9838709677419354,0.022809896167307997,0.9728260869565217,0.03563825284946741,0.9675,0.04521041341860834,0.9994565217391305,0.0017186291631349656
100,0.9967741935483871,0.01020089567796251,0.99375,0.019764235376052375,0.9933333333333334,0.021081851067789197,1.0,0.0
500,0.9967741935483871,0.01020089567796251,0.99375,0.019764235376052375,0.9933333333333334,0.021081851067789197,1.0,0.0
