n_genes,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
10,0.8027777777777778,0.047413422498517085,0.8057854137447406,0.044262621024318674,0.7817762033553466,0.044991504887451995,0.88835904628331,0.034527240448844955
25,0.825,0.04786805620657713,0.8299088359046284,0.047947533412957,0.8075430887370632,0.052168964814304546,0.9012622720897616,0.04948306446321441
50,0.8601851851851852,0.0515008307839678,0.8630785413744739,0.04968574016884357,0.8440259701710341,0.052891609468109044,0.9334502103786816,0.03866084978917998
100,0.8805555555555555,0.04352318418853209,0.8844670406732117,0.04144783511603027,0.8674806971962914,0.044431148612643905,0.9544179523141654,0.019505735973608662
500,0.9111111111111111,0.03534129725819754,0.9144460028050491,0.03458371616998279,0.9001823626459526,0.038708402187955536,0.9739130434782609,0.01897791077117368
